datetime	sensor_0	sensor_1	sensor_2
time	continuous	continuous	continuous
	class	class	class
1601483288.0	50.37526	0.0	0.0
1601483287.0	49.91362	44.94109	49.119
1601483286.0	50.28116	47.33088	52.35361
1601483285.0	51.17833	45.06805	49.98404
1601483284.0	47.48338	44.36929	49.37604
1601483283.0	49.53336	48.40848	51.67635
1601483282.0	49.15912	48.6721	47.28212
1601483281.0	50.82167	45.61525	47.52448
1601483280.0	53.32185	45.92229	49.47495
1601483279.0	48.91854	46.15988	48.8847
1601483278.0	50.26497	44.05343	50.30248
1601483277.0	49.58066	42.79305	49.98113
1601483276.0	52.67517	45.93921	55.0211
1601483275.0	62.35922	55.22478	71.12176
1601483274.0	64.8451	53.59385	70.03736
1601483273.0	61.50909	53.09464	73.04489
1601483272.0	59.76654	53.49521	72.25416
1601483271.0	61.8777	53.11817	71.60925
1601483270.0	64.12875	52.98048	74.35365
1601483269.0	65.25579	53.92817	76.1618
1601483268.0	62.60087	54.00289	77.9259
1601483267.0	64.7149	56.4754	79.72756
1601483266.0	64.49191	55.10876	81.19781
1601483265.0	63.90658	57.12094	80.82092
1601483264.0	63.56264	56.18606	78.59011
1601483263.0	65.90471	56.03398	77.41918
1601483262.0	66.69956	57.83138	78.87622
1601483261.0	66.19275	58.01279	80.71739
1601483260.0	64.25831	55.08846	79.11948
1601483259.0	64.30319	55.68591	79.59023
1601483258.0	62.09413	53.74387	77.49819
1601483257.0	60.11132	53.76225	75.04771
1601483256.0	62.9832	54.05483	73.31693
1601483255.0	64.08395	54.78936	72.07826
1601483254.0	59.95065	53.7412	70.87136
1601483253.0	64.30766	51.22655	73.78385
1601483252.0	62.67474	55.91066	72.85983
1601483251.0	62.65083	55.12928	68.28613
1601483250.0	62.78642	54.27943	69.11814
1601483249.0	64.97822	54.97144	68.61924
1601483248.0	59.38518	53.47139	70.40392
1601483247.0	60.71781	52.17108	70.36217
1601483246.0	60.0975	53.62431	71.69269
1601483245.0	62.18834	53.54932	72.0843
1601483244.0	62.91192	53.56849	71.64141
1601483243.0	63.34259	53.39312	75.51649
1601483242.0	62.48552	55.21194	77.53922
1601483241.0	64.57511	55.21767	77.26803
1601483240.0	63.94509	56.53083	80.62992
1601483239.0	66.87624	57.3896	81.93939
1601483238.0	64.51492	57.18147	79.23596
1601483237.0	66.84399	57.1087	79.19585
1601483236.0	64.57986	56.11545	80.05284
1601483235.0	66.01617	55.73238	79.23286
1601483234.0	65.45901	58.55591	78.65028
1601483233.0	63.10951	58.0388	78.15746
1601483232.0	63.46573	58.63807	78.51552
1601483231.0	61.73724	56.87848	75.82877
1601483230.0	66.63635	58.71994	76.85675
1601483229.0	64.90865	59.27439	73.06277
1601483228.0	62.41596	58.53216	75.42609
1601483227.0	62.73248	59.07955	76.54145
1601483226.0	66.34103	56.77698	76.26495
1601483225.0	66.72935	55.79903	75.94927
1601483224.0	65.97376	55.53659	78.20733
1601483223.0	65.07359	56.36919	80.40422
1601483222.0	67.3784	55.88423	82.93613
1601483221.0	68.18451	58.56287	85.99039
1601483220.0	66.47648	59.15817	89.36617
1601483219.0	64.27072	58.85109	89.31591
1601483218.0	64.75365	56.11417	87.67945
1601483217.0	63.36083	56.09786	87.08556
1601483216.0	63.51202	55.76501	82.47123
1601483215.0	62.54218	56.89944	80.32833
